HC16,HC13,HC06,HC03,RRMS18,RRMS16,SPMS10,SPMS03
0,0,1,0,0,1,1,3
391,414,346,441,429,373,252,361
0,0,0,0,0,0,0,0
0,0,1,0,1,2,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0
1,0,1,1,0,0,1,0
15,5,10,11,7,4,8,13
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15,17,5,16,24,12,11,5
14,11,58,31,31,28,3,11
0,3,0,0,0,1,1,0
69,69,33,22,28,36,31,34
0,0,0,0,1,0,0,0
2,0,0,0,0,0,0,1
5,0,2,0,2,0,1,1
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
509,312,788,257,136,220,183,425
0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0
0,2,2,0,0,0,0,0
0,0,0,0,0,0,0,0
1589,2665,2048,2053,2457,1794,1343,2146
2243,2555,3744,2446,2312,2149,3426,2347
0,0,1,0,0,1,1,0
0,0,0,0,0,0,0,0
739,805,801,1017,961,767,449,666
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1
251,336,264,356,319,289,308,263
5,0,5,6,4,2,3,2
7920,8294,7686,11038,7791,6003,6519,6800
136,203,245,211,272,204,94,162
2702,2536,2219,2540,2833,2933,2916,2283
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
28,27,22,23,33,40,23,26
134,123,126,117,130,127,109,145
236,350,283,218,406,215,310,373
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
241,311,278,379,353,323,287,302
0,0,0,0,0,0,0,1
4,6,7,6,11,19,8,11
536,510,422,655,375,455,369,451
0,0,0,0,0,0,0,0
5,10,1,0,2,2,0,1
0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
133,132,97,110,108,117,70,122
418,407,478,441,434,350,276,525
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
7,4,0,7,6,4,2,4
0,0,0,0,0,0,0,0
168,145,138,192,165,140,146,138
6,1,3,4,4,5,0,7
77,52,79,57,60,116,50,61
7,7,7,3,14,10,8,8
24,47,47,77,52,39,43,38
0,0,4,1,5,0,0,0
58,34,31,64,43,57,33,26
5,6,10,3,12,5,4,2
0,0,0,0,0,0,0,0
142,103,138,92,150,170,69,139
730,1015,450,605,3385,3264,973,2136
0,0,0,0,0,0,0,1
0,3,17,5,5,5,3,13
0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0
13,15,9,13,18,10,7,4
295,356,339,357,409,267,186,271
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2,6,3,3,1,3,0,5
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
11,9,20,9,14,16,16,9
38,24,12,28,23,18,15,3
0,0,0,0,0,0,0,0
11,1,4,11,3,8,2,0
0,2,1,0,1,2,0,0
2,2,1,1,6,3,1,1
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
41,100,85,124,135,77,53,55
273,300,217,269,334,254,230,272
375,312,324,378,408,300,217,275
1,1,1,4,1,0,1,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2,2,0,0,3,0,0,2
1202,1265,1067,1291,1528,1187,870,1231
0,0,0,1,0,0,1,0
4,4,5,8,4,2,0,5
142,168,244,190,252,181,157,141
0,0,0,0,0,1,2,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,19,0,0,11,13
0,0,0,0,0,0,0,0
9,2,4,12,12,6,1,2
0,0,0,0,0,0,0,0
16,31,22,22,46,33,19,17
1,5,1,1,4,3,2,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
55,49,49,60,51,46,36,48
99,122,149,55,29,57,37,122
0,0,0,0,0,0,0,0
9,14,17,12,23,9,6,9
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0
0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
399,477,389,501,540,481,404,451
0,0,1,0,0,0,0,0
16,9,14,7,11,8,10,8
