id,RRMS01,RRMS02,RRMS03,RRMS04,RRMS05,RRMS06,RRMS07,RRMS08,RRMS09,RRMS10,RRMS11,RRMS12,RRMS13,RRMS14,RRMS15,RRMS16,RRMS17,RRMS18,RRMS19,RRMS20,SPMS01,SPMS02,SPMS03,SPMS04,SPMS05,SPMS06,SPMS07,SPMS08,SPMS09,SPMS10,HC01,HC02,HC03,HC04,HC05,HC06,HC07,HC08,HC09,HC10,HC11,HC12,HC13,HC14,HC15,HC16,HC17,HC18,HC19,HC20
circ_820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8200,0,4,0,6,4,4,5,0,7,10,6,6,4,6,6,9,8,7,5,5,3,8,0,0,3,3,7,8,7,2,0,2,0,5,0,0,12,5,0,2,0,4,7,6,4,9,2,5,5,9
circ_8201,0,0,3,7,10,4,4,0,6,3,2,5,0,7,0,0,6,6,0,0,6,4,0,6,10,6,3,0,15,7,6,8,3,2,0,0,3,0,0,7,0,4,4,5,6,0,0,3,0,0
circ_8202,4,0,0,3,3,4,0,0,3,0,6,4,0,0,0,2,0,0,0,2,0,0,3,7,5,0,6,3,3,3,3,0,5,8,0,4,0,0,0,3,2,0,7,4,0,3,0,2,3,0
circ_8203,0,0,2,0,0,4,0,2,0,6,4,4,2,0,0,5,3,0,0,5,0,0,6,5,0,3,3,15,3,0,0,0,4,4,0,5,9,0,2,0,3,3,2,3,0,0,0,0,0,0
circ_8204,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8205,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0
circ_8206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
circ_8208,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
circ_8209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0
circ_821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
circ_8210,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0
circ_8211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0
circ_8212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
circ_8213,3,7,0,3,0,0,8,10,4,3,4,9,7,5,0,5,3,8,6,5,6,3,0,12,5,0,4,2,5,0,3,6,0,12,5,2,10,0,2,2,12,13,4,3,10,2,3,0,2,3
circ_8214,4,5,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,3,0
circ_8215,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
circ_8217,0,4,0,4,0,0,2,0,0,0,2,2,0,2,0,3,0,0,3,0,2,5,2,2,2,0,0,2,2,0,2,4,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
circ_8218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
circ_8220,2,2,3,0,0,0,3,0,2,4,0,0,2,0,0,3,0,0,2,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,4,2,0,2,3,0,0,2,0,0
circ_8221,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,7,0,2,0,0,2,4,0,0,0,0,4,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
circ_8222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8223,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
circ_8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0
circ_8225,3,2,4,2,7,0,6,0,7,7,9,2,0,7,2,5,7,13,15,10,4,7,3,8,7,9,13,8,7,0,2,7,7,5,2,4,3,2,8,6,5,9,2,3,7,2,2,8,8,4
circ_8226,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,3,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0
circ_8227,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8228,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,2,0,3,0
circ_823,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8230,5,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,3,3,0
circ_8231,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8232,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
