RRMS01,RRMS02,RRMS03,RRMS04,RRMS05,RRMS06,RRMS07,RRMS08,RRMS09,RRMS10,RRMS11,RRMS12,RRMS13,RRMS14,RRMS15,RRMS16,RRMS17,RRMS18,RRMS19,RRMS20,SPMS01,SPMS02,SPMS03,SPMS04,SPMS05,SPMS06,SPMS07,SPMS08,SPMS09,SPMS10,HC01,HC02,HC03,HC04,HC05,HC06,HC07,HC08,HC09,HC10,HC11,HC12,HC13,HC14,HC15,HC16,HC17,HC18,HC19,HC20
4,7,6,6,5,11,8,3,4,7,7,12,9,11,6,3,9,7,3,7,4,7,0,10,7,5,10,10,3,6,5,5,16,7,0,0,3,5,5,8,12,8,6,11,8,2,0,8,8,8
0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
6,2,5,2,2,3,4,4,7,2,2,7,12,10,6,0,8,3,6,2,2,6,6,3,5,2,14,2,5,5,0,7,5,9,2,6,5,4,8,3,0,4,4,4,12,4,0,7,4,0
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,5,2,4,0,0,3,3,0,0,2,2,0,0,2,0,3,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2
0,0,0,0,2,0,4,0,0,4,0,0,6,0,5,6,5,3,5,0,0,3,0,6,3,7,4,0,4,4,3,0,3,0,0,0,2,0,0,0,5,0,0,0,5,0,5,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,42,36,47,44,51,42,31,41,50,45,44,46,36,34,32,61,48,45,26,41,32,27,83,35,58,90,20,44,35,32,34,41,62,27,45,57,32,29,50,58,57,30,61,40,23,42,34,41,49
0,0,0,0,2,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2,3,0,0,0,2,0,0,0,8,0,3,0,13,3,0,3,0,2
2,0,7,7,6,2,8,0,5,7,0,0,4,2,0,0,4,0,0,0,2,4,0,9,6,3,5,0,0,0,0,0,2,2,4,2,3,2,0,4,0,6,5,8,2,3,0,0,4,6
4,4,0,0,0,0,2,3,3,3,0,0,0,2,3,4,0,4,0,0,0,0,0,5,0,0,5,0,5,0,2,0,5,5,2,0,4,2,0,4,8,0,0,4,4,0,2,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,3,0,2,3,0,6,0,0,0,5,0,0,3,5,6,0,0,0,2,0,0,2,3,0,7,2,3,0,4,0,0,5,0,0,0,0,0,0,3,0,0,8,4,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,5,0,5,6,5,5,3,7,6,6,4,3,0,6,5,4,6,4,0,2,4,5,6,3,6,2,7,0,0,0,3,4,0,4,4,0,5,0,5,4,0,8,2,3,3,0,5,0
2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
0,0,0,6,0,0,10,2,0,0,0,0,0,0,0,4,4,0,3,0,5,0,0,7,4,0,0,0,4,0,0,3,0,4,4,4,0,0,4,0,0,4,0,6,0,0,0,3,0,0
0,3,0,0,0,0,4,0,0,0,0,3,2,4,0,0,0,0,2,0,3,2,3,4,0,0,0,2,0,0,0,0,4,0,3,0,0,0,0,5,0,3,0,2,2,0,0,0,5,0
